code,name,companyCode_code,controllingArea
507Z,G/M Div A/C,US50,USV3
508A,TXAX /NYK,US50,USV3
508B,Maypro,US50,USV3
508C,Battery Materials,US50,USV3
508K,Helmitin USA Equity,US50,USV3
508L,Helmitin Canada Eqty,US50,USV3
508M,ITOCHU Chemical,US50,USV3
508N,Reynolds /NYK,US50,USV3
508O,MGI Int'l Affil,US50,USV3
508P,Bonset(America),US50,USV3
508V,Chemical Mexico,US50,USV3
508X,MGI Int'l LLC Consol,US50,USV3
508Y,ChemDiv Int Cap & RE,US50,USV3
508Z,Chemical DIV_AC,US50,USV3
509L,Trademark Merchant,US50,USV3
509M,Magnus Shoreline/NYK,US50,USV3
509P,Power & Utility,US50,USV3
509Q,Battery Business,US50,USV3
509W,Internal Cap/RE,US50,USV3
509X,Power & Environ AC,US50,USV3
509Y,Intern Cap & RE /NYK,US50,USV3
509Z,Branch Gen Mgr /NYK,US50,USV3
50A1,Divisional Acct /NYK,US50,USV3
50A2,Corporate Credit/NYK,US50,USV3
50A3,Financial Acctng&Rep,US50,USV3
50A4,Finan. Risk Mgmt/NYK,US50,USV3
50A5,Planning&Contr Acctg,US50,USV3
50A6,External Rprtng IFRS,US50,USV3
50A7,Corp Acct/Controller,US50,USV3
50A8,Financial Systems/NY,US50,USV3
50B1,Business Develp/NYK,US50,USV3
50B2,L.A. Branch Admin Ex,US50,USV3
50B3,Washington DC Office,US50,USV3
50B4,S.F. Branch Admin Ex,US50,USV3
50B5,Sil Valley Offc:MGR,US50,USV3
50B6,Sil Valley Offc:NxtG,US50,USV3
50C1,Corporate Planning,US50,USV3
50C2,Busn Plng & Analy/NY,US50,USV3
50C3,Sustainability Dept.,US50,USV3
50C4,BP&A,US50,USV3
50C5,Corporate Dev,US50,USV3
50E1,Executive Office/NYK,US50,USV3
50E2,CFO A/C /NYK,US50,USV3
50E3,CCO A/C - NYK,US50,USV3
50F1,Corp Finance & Treas,US50,USV3
50F2,Insurance Mgmt. /NYK,US50,USV3
50F3,Insurance /NYK,US50,USV3
50G1,General Affairs /NYK,US50,USV3
50G2,1251 Office Rent/NYK,US50,USV3
50G3,Office Rent /NYK,US50,USV3
50H1,"Payroll,Benefits,HR",US50,USV3
50H2,Learning & Developme,US50,USV3
50H3,Expatriate Relations,US50,USV3
50H4,HRIS /NYK,US50,USV3
50H5,HR & General Affairs,US50,USV3
50I1,Itochu Canada/NYK,US50,USV3
